,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population,mean_distr_pps,pub_trans_1km
214,301457.0,180.5,1.0,30.245728,59.962048,9.16,41.0,210600.0,115757,266189.33541666664,21.0
215,301457.0,170.0,1.0,30.245728,59.962048,9.16,41.0,262999.8,115757,266189.33541666664,21.0
216,338375.0,111.0,1.0,30.245728,59.962048,9.16,41.0,165778.0,115757,266189.33541666664,21.0
217,306083.0,197.3,1.0,30.245728,59.962048,9.16,41.0,370584.8,115757,266189.33541666664,21.0
218,322432.0,112.4,1.0,30.245728,59.962048,9.16,41.0,177654.8,115757,266189.33541666664,21.0
219,332895.0,76.7,1.0,30.245728,59.962048,9.16,41.0,103432.0,115757,266189.33541666664,21.0
220,253562.0,70.2,28.0,30.312392,60.06927,7.0,58.0,150297.6,541590,234626.65405405403,48.0
221,205406.0,37.0,10.0,30.372291,59.831173,7.51,26.0,95120.0,335221,282621.4952380953,29.0
222,301830.0,98.4,5.0,30.318985,59.906504,1.74,47.0,225800.0,335221,282621.4952380953,58.0
223,166298.0,45.1,16.0,30.238577,60.010789,10.48,81.0,91400.0,699243,270866.037,83.0
224,288889.0,180.0,2.0,30.257136,60.028474,8.98,70.0,276424.0,699243,270866.037,42.0
225,115433.0,162.0,6.0,30.456149,59.865862,14.88,24.0,284560.0,547896,236967.59302325585,25.0
226,220869.0,76.0,24.0,30.511773,59.866274,20.93,17.0,144540.0,547896,236967.59302325585,0.0
227,209054.0,79.0,24.0,30.511773,59.866274,20.93,17.0,145790.0,547896,236967.59302325585,0.0
228,211686.0,51.0,18.0,30.431364,59.900962,11.74,22.0,85320.0,547896,236967.59302325585,35.0
229,430770.0,62.4,5.0,30.30172,59.990165,3.96,65.0,119290.0,699243,270866.037,71.0
230,59761.0,50.2,5.0,30.348675,59.91129,2.7,62.0,102500.0,413983,257039.7413333333,101.0
231,200000.0,188.3,6.0,30.369012,59.929853,4.65,53.0,341800.0,200654,244764.85882352944,37.0
232,220184.0,32.7,1.0,30.345854,59.917209,2.28,74.0,76704.0,200654,244764.85882352944,86.0
233,236085.0,52.1,6.0,30.350857,59.9358,2.62,20.0,83000.0,200654,244764.85882352944,80.0
234,223077.0,65.0,5.0,30.354559,59.943791,3.07,27.0,120820.0,200654,244764.85882352944,88.0
235,168225.0,160.5,12.0,30.433565,59.935205,11.82,38.0,249998.6,366971,234417.04901960783,29.0
236,448980.0,49.0,6.0,30.327223,59.876237,3.05,54.0,108804.0,335221,282621.4952380953,70.0
237,277500.0,36.0,2.0,30.276163,59.939027,5.69,37.0,63256.0,206680,261018.50256410256,42.0
238,283334.0,36.0,2.0,30.276163,59.939027,5.69,37.0,63256.0,206680,261018.50256410256,42.0
239,351000.0,28.96,5.0,30.308322,59.754121,9.41,12.0,113200.0,335221,282621.4952380953,1.0
240,384115.0,76.8,5.0,30.306912,59.924555,2.33,45.0,94177.0,155981,249123.5042857144,71.0
241,225317.0,79.0,2.0,30.379568,59.707956,13.58,8.0,119639.0,263732,214227.69361702123,11.0
242,263300.0,71.7,5.0,30.37654,59.925128,5.51,67.0,116795.0,200654,244764.85882352944,53.0
243,263300.0,71.7,5.0,30.37654,59.925128,5.51,67.0,116795.0,200654,244764.85882352944,53.0
244,272358.0,24.6,16.0,30.312446,59.905998,2.23,68.0,62000.0,155981,249123.5042857144,63.0
245,205971.0,67.0,25.0,30.374088,59.807138,8.64,31.0,135632.0,263732,214227.69361702123,20.0
246,137200.0,50.4,1.0,30.359356,59.921692,3.64,44.0,76251.8,200654,244764.85882352944,57.0
247,259017.0,61.0,1.0,30.217601,59.835134,13.03,48.0,120920.0,335774,234788.32222222225,43.0
248,170000.0,15.0,1.0,30.482389,59.885973,17.49,30.0,41110.0,547896,236967.59302325585,20.0
249,251613.0,155.0,26.0,30.380852,59.924001,5.99,65.0,245198.0,200654,244764.85882352944,60.0
250,319994.0,60.77,14.0,30.417396,59.936206,10.02,47.0,120336.0,366971,234417.04901960783,62.0
251,129033.0,186.0,5.0,30.304424,59.919982,2.66,66.0,340024.0,155981,249123.5042857144,77.0
252,164377.0,181.9,5.0,30.349348,59.924488,2.52,46.0,311200.0,200654,244764.85882352944,95.0
253,143625.0,80.0,4.0,30.298665,59.923581,3.24,54.0,127418.0,155981,249123.5042857144,73.0
254,75509.0,152.3,7.0,30.413299,59.958809,9.65,26.0,362090.0,366971,234417.04901960783,72.0
255,246237.0,71.07,8.0,30.25304,59.908868,8.35,26.0,101532.0,335774,234788.32222222225,46.0
256,141442.0,111.0,20.0,30.317961,60.069598,6.93,47.0,148031.2,541590,234626.65405405403,39.0
257,271371.0,73.7,1.0,30.323306,59.964205,1.54,72.0,100391.4,115757,266189.33541666664,55.0
258,178019.0,129.2,1.0,30.341578,59.923369,1.71,79.0,262296.0,200654,244764.85882352944,82.0
