,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
516,229581.0,60.85,19.0,30.184849,59.942245,15.84,15.0,104168.0,200654
517,259017.0,61.0,1.0,30.217601,59.835134,13.03,48.0,282602.0,413983
519,278689.0,61.0,7.0,30.304792,59.954628,2.68,46.0,143400.0,200654
520,277050.0,61.0,8.0,30.39651,59.944292,7.71,20.0,108644.0,200654
522,188525.0,61.0,18.0,30.244308,60.072444,11.27,21.0,90376.0,200654
524,376685.0,61.59,19.0,30.184849,59.942245,15.84,15.0,88096.0,200654
526,304000.0,61.63,13.0,30.377394,60.017499,7.12,42.0,109970.0,200654
532,298388.0,62.0,22.0,30.160765,59.861973,18.77,89.0,112976.0,200654
534,197263.0,62.1,6.0,30.317117,59.924722,1.26,31.0,166400.0,413983
539,184714.0,62.8,10.0,30.364799,60.043848,7.13,53.0,101374.0,200654
540,220351.0,62.8,23.0,30.319785,60.077463,7.31,26.0,131073.6,200654
541,420000.0,62.98,9.0,30.307568,59.985804,3.36,61.0,121374.0,200654
542,123810.0,63.0,1.0,30.350444,59.838055,5.74,69.0,226562.0,200654
543,103175.0,63.0,1.0,30.369282,59.806821,8.32,31.0,226562.0,200654
544,103175.0,63.0,1.0,30.370072,59.806975,8.37,31.0,226562.0,200654
550,301110.0,63.1,9.0,30.386458,59.874277,7.37,52.0,121374.0,200654
551,219303.0,63.1,23.0,30.321285,60.081722,7.52,11.0,131073.6,200654
553,373011.0,63.5,1.0,30.434006,59.934285,11.87,39.0,114262.0,200654
554,329650.0,63.54,1.0,30.35128,59.967502,3.16,57.0,114262.0,200654
556,160126.0,63.7,25.0,30.375507,59.802929,8.92,26.0,131073.6,200654
558,150000.0,63.9,1.0,30.418779,59.87924,10.65,21.0,114262.0,200654
559,387600.0,63.92,7.0,30.268635,59.943372,6.53,33.0,171330.0,200654
561,241434.0,64.2,9.0,30.233529,59.949956,10.45,63.0,145130.0,200654
566,139035.0,64.66,1.0,30.425723,59.883882,11.32,21.0,133060.0,200654
567,84877.0,64.8,1.0,30.472355,59.929687,16.14,39.0,133060.0,200654
568,115385.0,65.0,1.0,30.304873,59.926607,2.53,48.0,133060.0,200654
576,223077.0,65.0,5.0,30.354559,59.943791,3.07,27.0,100744.0,200654
577,153077.0,65.0,7.0,30.283187,59.983265,5.44,41.0,148130.0,200654
583,297710.0,65.5,5.0,30.396699,59.85365,8.93,42.0,162000.0,200654
