,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square
166,360361.0,55.5,1.0,30.318725,59.885936,2.7,75.0,96578.8,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
167,269300.0,55.7,3.0,30.279935,59.942376,5.28,52.0,62618.8,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
168,400000.0,56.04,11.0,30.338083,59.880582,3.1,19.0,112600.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
169,380000.0,56.2,25.0,30.220961,59.862483,12.29,34.0,135700.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
170,326578.0,56.25,19.0,30.184849,59.942245,15.84,15.0,97892.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
171,385000.0,56.3,25.0,30.220988,59.861973,12.29,35.0,138900.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
172,219299.0,57.0,25.0,30.317961,60.069598,6.93,47.0,138900.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
173,400000.0,57.1,10.0,30.429685,59.881358,11.79,23.0,138720.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
174,350000.0,57.6,11.0,30.338083,59.880582,3.1,19.0,124520.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
175,387600.0,57.61,7.0,30.268635,59.943372,6.53,33.0,144884.4,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
176,225460.0,57.66,25.0,30.317961,60.069598,6.93,47.0,138900.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
177,134316.0,57.7,1.0,30.32495,59.917213,0.97,38.0,108602.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
178,317646.0,57.91,9.0,30.404316,59.938175,8.57,17.0,164120.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
179,136207.0,58.0,1.0,30.32495,59.917213,0.97,38.0,97602.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
180,317646.0,58.88,9.0,30.404316,59.938175,8.57,17.0,121920.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
181,135000.0,58.9,1.0,30.376316,59.924943,5.48,69.0,156602.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
182,225000.0,58.9,5.0,30.442773,59.885616,13.15,17.0,182598.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
183,261865.0,59.0,27.0,30.340985,60.075016,7.44,51.0,161500.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
184,281145.0,59.4,1.0,30.330403,59.957043,1.17,22.0,156602.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
185,420169.0,59.5,6.0,30.346546,59.910009,2.52,75.0,198398.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
186,254181.0,59.8,28.0,30.340985,60.075016,7.44,51.0,161500.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
187,283334.0,60.0,3.0,30.288119,59.984373,4.98,43.0,181398.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
188,179834.0,60.0,5.0,30.344336,60.072094,7.4,53.0,193598.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
