,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps
162,290437.6,28.0,5.0,30.312419,59.864064,3.99,86.0,49980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
163,428572.0,28.0,9.0,30.374124,59.869562,6.3,82.0,57210.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413983,254696.63902439023
164,201230.8,28.0,15.0,30.470702,59.894897,16.12,31.0,81200.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
165,236858.0,28.2,6.0,30.326055,59.933041,0.18,20.0,100000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
166,351000.0,28.96,5.0,30.308322,59.754121,9.41,12.0,113200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
167,99656.0,29.0,1.0,30.388748,59.945855,6.86,24.0,148464.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
168,234032.6,29.0,2.0,30.289512,59.908502,4.41,47.0,72750.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
169,185017.4,29.0,18.0,30.35887,59.928442,3.53,34.0,130000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
170,202541.4,29.0,25.0,30.389737,59.938703,6.95,26.0,85000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
171,280822.0,29.2,5.0,30.357586,59.930962,3.38,23.0,131504.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
172,200344.6,29.5,2.0,30.207648,60.034474,14.03,23.0,70800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
