,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
236,50.0,23.0,1.0,60.002638,30.205447,98.0,12.25,279766.9102439024
237,50.0,27.0,4.0,59.922066,30.331202,33.0,2.22,277500.88611111115
238,50.2,5.0,4.0,59.91129,30.348675,62.0,4.24,245996.38888888888
239,50.4,5.0,3.0,59.921692,30.359356,44.0,5.28,254919.1581632653
240,50.45,13.0,0.0,60.006116,30.329891,69.0,4.04,225573.17423312887
241,50.46,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
242,50.46,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
243,51.0,1.0,0.0,59.844032,30.335362,76.0,5.38,284126.8703125
244,51.0,12.0,1.0,59.999633,30.197201,71.0,13.11,279766.9102439024
245,51.0,18.0,1.0,59.900962,30.431364,22.0,13.37,218420.79166666663
246,51.0,25.0,2.0,59.99669,30.303983,59.0,3.13,279766.9102439024
247,51.1,16.0,1.0,59.885142,30.368563,17.0,6.81,245996.38888888888
248,51.3,11.0,0.0,59.880582,30.338083,19.0,4.05,284126.8703125
249,51.4,14.0,1.0,59.852285,30.274698,38.0,5.84,239969.54054054053
250,51.7,4.0,0.0,59.949555,30.302555,38.0,1.27,288191.65576923074
251,51.8,14.0,1.0,59.919121,30.295243,53.0,2.09,277500.88611111115
252,51.8,16.0,1.0,59.84819,30.40552,55.0,11.42,245996.38888888888
253,51.94,5.0,0.0,59.952006,30.469489,23.0,17.49,222474.55818181817
254,52.0,5.0,2.0,59.869562,30.374124,82.0,7.73,245996.38888888888
255,52.0,25.0,0.0,59.955471,30.37133,30.0,6.63,261699.9675
256,52.1,6.0,4.0,59.9358,30.350857,20.0,4.27,254919.1581632653
257,52.5,13.0,0.0,59.875411,30.334293,26.0,3.96,284126.8703125
258,52.5,13.0,0.0,59.806174,30.358107,15.0,8.5,189180.75698924728
259,52.5,20.0,0.0,60.06927,30.312392,58.0,6.64,225573.17423312887
260,52.8,3.0,7.0,59.923017,30.318105,30.0,0.93,277500.88611111115
261,53.0,5.0,1.0,59.922792,30.302699,64.0,1.28,277500.88611111115
262,53.0,9.0,0.0,59.875411,30.334293,26.0,3.96,284126.8703125
263,53.0,13.0,0.0,60.030245,30.2026,18.0,12.89,279766.9102439024
264,53.1,5.0,2.0,59.952331,30.2973,46.0,1.85,288191.65576923074
265,53.3,9.0,0.0,59.861824,30.145673,46.0,18.79,282094.2408163265
266,53.5,9.0,0.0,59.908868,30.25304,26.0,6.73,239969.54054054053
267,53.6,17.0,0.0,60.06927,30.312392,58.0,6.64,225573.17423312887
268,53.6,25.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
269,53.6,26.0,0.0,59.967155,30.273737,37.0,4.55,288191.65576923074
270,53.8,11.8,0.0,59.812392,30.367162,33.0,8.94,189180.75698924728
271,54.0,3.0,1.0,59.938257,30.230627,59.0,9.1,261970.0192
272,54.1,13.0,0.0,60.038542,30.40137,61.0,11.33,261699.9675
273,54.38,8.0,0.0,59.98958,30.375031,80.0,7.51,261699.9675
274,54.4,5.0,0.0,59.873261,30.336026,18.0,4.17,284126.8703125
275,54.41,9.0,0.0,59.903823,30.288622,42.0,3.09,277500.88611111115
276,54.5,25.0,0.0,60.029458,30.251773,75.0,8.03,279766.9102439024
277,54.59,9.0,1.0,59.938175,30.404316,17.0,10.22,222474.55818181817
278,54.6,10.0,2.0,59.999458,30.302142,71.0,3.32,279766.9102439024
279,55.0,1.0,5.0,59.932202,30.349627,28.0,4.14,254919.1581632653
280,55.0,1.0,4.0,59.940875,30.356346,31.0,4.89,254919.1581632653
281,55.0,4.0,2.0,59.939167,30.345396,20.0,3.67,254919.1581632653
282,55.0,4.0,3.0,59.920086,30.360766,47.0,5.45,254919.1581632653
283,55.0,5.0,3.0,59.911475,30.311278,57.0,1.26,277500.88611111115
284,55.0,5.0,0.0,59.947041,30.386727,27.0,8.28,254919.1581632653
285,55.0,5.0,1.0,59.928217,30.41126,42.0,11.0,222474.55818181817
286,55.0,6.0,1.0,59.880983,30.274258,24.0,5.02,239969.54054054053
287,55.0,6.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
288,55.0,7.0,1.0,59.938257,30.230627,59.0,9.1,261970.0192
289,55.0,10.0,0.0,59.866734,30.1677,60.0,16.36,282094.2408163265
290,55.0,25.0,1.0,60.011356,30.402672,40.0,10.83,261699.9675
291,55.0,10.0,1.0,59.93218,30.469669,34.0,17.49,218420.79166666663
292,55.1,7.0,2.0,59.952123,30.296402,52.0,1.94,288191.65576923074
293,55.4,5.0,1.0,59.854567,30.330232,35.0,4.63,284126.8703125
294,55.4,5.0,1.0,59.854567,30.330232,35.0,4.63,284126.8703125
295,55.4,9.0,1.0,59.906309,30.489503,36.0,19.77,218420.79166666663
