,squares,rent_per_month,max_floor,latitude,longitude
716,68.3,136600.0,11.0,30.321698,59.929096
718,31.8,44520.0,3.0,30.336763,59.982748
719,33.0,49500.0,3.0,30.224815,59.853211
720,23.1,34650.0,3.0,30.318312,59.95694
722,113.4,250000.0,4.0,30.363209,59.831865
723,100.0,240000.0,6.0,30.363209,59.831865
726,44.4,53280.0,4.0,30.362949,59.931824
727,65.7,200000.0,17.0,30.368294,60.040177
728,73.9,165000.0,25.0,30.092349,59.842327
729,120.0,240000.0,24.0,30.31311,59.850879
730,94.0,169000.0,8.0,30.317961,60.069598
731,76.1,150000.0,4.0,30.19579,60.036443
733,70.7,190000.0,9.0,30.334445,59.770851
735,30.0,110000.0,5.0,30.313955,59.851598
737,72.0,158400.0,2.0,30.206381,60.036016
738,100.0,210000.0,2.0,30.371806,60.044208
741,187.5,281250.0,,30.268123,59.887372
743,63.86,159650.0,8.0,30.241901,60.041251
744,186.0,520000.0,15.0,30.317844,59.907338
745,125.0,150000.0,25.0,30.345854,59.917209
746,56.0,112000.0,13.0,30.307765,59.956557
748,117.38,281712.0,3.0,30.317961,60.069598
750,186.3,530000.0,22.0,30.232891,59.952074
751,112.2,224400.0,12.0,30.232891,59.952074
752,78.0,234000.0,26.0,30.32778,59.862415
753,137.3,205950.0,3.0,30.369641,59.955854
754,66.0,572022.0,3.0,30.369641,59.955854
756,80.0,100000.0,2.0,30.321797,59.941403
757,51.0,80000.0,12.0,30.197201,59.999633
759,47.5,50000.0,10.0,30.330852,59.957111
760,63.0,189000.0,6.0,30.443869,59.900128
761,132.94,160000.0,3.0,30.363084,59.943683
763,82.0,205000.0,18.0,30.359805,59.944959
768,113.6,149384.0,6.0,30.363371,59.943683
772,104.0,150000.0,4.0,30.328175,59.931833
774,33.7,85000.0,12.0,29.767554,59.915702
775,172.0,190000.0,,30.317961,60.069598
776,81.0,170000.0,24.0,30.271967,59.935417
777,65.0,65000.0,5.0,30.334275,59.934758
779,110.0,357000.0,5.0,30.332244,59.896097
780,78.5,170000.0,3.0,30.2897,59.958512
781,79.0,99000.0,15.0,30.322075,60.01619
782,26.0,60000.0,2.0,30.346644,59.928194
783,72.3,395000.0,4.0,30.271949,60.00029
784,65.0,65000.0,5.0,30.108294,59.837237
786,88.5,350000.0,5.0,30.20233,59.989481
787,175.0,250000.0,3.0,30.456293,59.896878
788,191.0,431600.0,4.0,30.329046,59.935511
789,160.6,423984.0,6.0,30.324528,59.928961
791,49.8,124500.0,2.0,30.319839,59.862321
792,190.0,260000.0,5.0,30.386943,59.832059
794,170.0,187000.0,13.0,30.320009,59.903724
795,92.5,200000.0,8.0,30.320018,59.911141
797,52.8,160000.0,3.0,30.318105,59.923017
799,29.5,70800.0,2.0,30.207648,60.034474
800,97.5,230000.0,8.0,30.413371,59.942187
802,200.0,400000.0,26.0,30.305798,59.965566
804,133.9,170000.0,4.0,30.35048,59.94974
805,58.0,70000.0,,30.35048,59.94974
806,154.0,250000.0,4.0,30.127006,59.837336
808,65.4,130000.0,9.0,30.237427,60.033976
809,183.0,550000.0,9.0,30.196428,59.938491
813,63.0,202000.0,5.0,30.328175,59.931833
814,130.0,150000.0,5.0,30.254765,59.988563
815,45.0,65000.0,13.0,30.359805,59.944959
816,170.0,210000.0,7.0,30.274698,59.852285
817,28.2,100000.0,6.0,30.326055,59.933041
818,41.7,208500.0,6.0,30.216272,60.034146
819,92.0,95000.0,,30.320953,59.877398
820,115.0,229940.0,1.0,30.359041,59.808794
822,100.0,99000.0,9.0,30.312392,60.06927
823,153.4,185000.0,19.0,30.309086,59.916279
824,121.9,147000.0,19.0,30.261897,59.960368
825,141.8,212700.0,25.0,30.268123,59.887372
826,29.0,130000.0,18.0,30.35887,59.928442
830,103.0,450000.0,3.0,30.39651,59.944292
831,180.0,324000.0,,30.252788,59.909842
832,47.0,120000.0,10.0,30.396375,59.839782
833,200.0,600000.0,3.0,30.359805,59.944959
835,150.0,550000.0,7.0,30.321941,59.855642
836,189.0,142000.0,14.0,30.267404,59.910641
838,43.4,135000.0,25.0,30.258565,59.999282
839,21.0,63000.0,2.0,30.257532,59.984467
840,181.6,454000.0,8.0,30.285325,59.967169
841,120.0,150000.0,2.0,30.345863,60.039854
842,41.7,161500.0,,30.305205,59.924041
844,70.0,85000.0,3.0,30.264215,60.006017
845,90.0,531000.0,20.0,30.411682,59.9507
