,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,population,mean_distr_pps,pop_per_park
145,97318.0,3990000.0,97528.0,41.0,8.0,30.371456,59.922201,0.0,0.0,0.0,60.0,2378.731707317073,6.61,200654,254919.1581632653,41385.63663140983
146,236342.0,9689999.0,130716.0,41.0,19.0,30.184849,59.942245,0.0,0.0,0.0,15.0,3188.19512195122,14.19,206680,261970.0192,10346.409157852457
147,360406.2,13724791.8,41300.0,41.3,26.0,30.26514,59.931057,0.0,0.0,0.0,26.0,1000.0,5.26,206680,261970.0192,17933.775873610924
148,279350.0,9778912.0,70000.0,41.4,6.0,30.245566,59.963066,0.0,0.0,0.0,40.0,1690.821256038647,7.54,115757,288191.65576923074,27590.424420939886
149,390379.6,16419800.0,161500.0,41.7,9.6,30.305205,59.924041,0.0,0.0,0.0,51.0,3872.901678657074,1.02,155981,277500.88611111115,35177.79113669835
150,143199.0,6000000.0,79496.0,41.9,5.0,30.316326,59.909779,1.0,3.0,7.0,58.0,1897.2792362768496,1.42,155981,277500.88611111115,40006.115410362836
151,189286.0,7950000.0,79496.0,42.0,5.0,30.29739,59.95402,0.0,0.0,1.0,48.0,1892.7619047619048,1.88,115757,288191.65576923074,33108.50930512786
152,368600.0,15503316.0,79496.0,42.06,10.0,30.318985,59.906504,1.0,2.0,4.0,47.0,1890.0618164526863,1.68,335221,284126.8703125,32418.748694604365
153,206553.0,8700000.0,62821.8,42.12,28.0,30.372291,59.831173,0.0,1.0,1.0,26.0,1491.4957264957266,8.69,335221,284126.8703125,17933.775873610924
154,177726.0,7500000.0,110688.0,42.2,16.0,30.32486,60.053701,0.0,0.0,2.0,94.0,2622.9383886255923,6.09,541590,225573.17423312887,64837.49738920873
155,389151.0,16500000.0,79496.0,42.4,5.0,30.33087,59.843693,0.0,0.0,0.0,80.0,1874.9056603773583,5.16,335221,284126.8703125,55180.84884187977
156,408929.4,18244000.0,90000.0,42.8,5.0,30.323288,59.994652,0.0,0.0,0.0,88.0,2102.803738317757,3.18,699243,279766.9102439024,60698.93372606775
157,216280.0,9300000.0,80496.0,43.0,5.0,30.304792,59.954628,0.0,0.0,1.0,46.0,1872.0,1.23,115757,288191.65576923074,31728.98808408087
158,313721.0,13490000.0,84568.0,43.0,5.0,30.348297,59.945544,0.0,0.0,2.0,23.0,1966.6976744186047,4.02,200654,254919.1581632653,15864.494042040435
159,175582.0,7550000.0,84568.0,43.0,5.0,30.349249,59.917493,1.0,1.0,4.0,62.0,1966.6976744186047,4.21,200654,254919.1581632653,42765.157852456825
160,408929.4,18244000.0,45000.0,43.0,8.2,30.323683,59.929037,0.0,1.0,7.0,23.0,1046.5116279069769,1.31,200654,254919.1581632653,15864.494042040435
161,215349.0,10668200.0,23815.0,43.3,2.0,30.405978,59.719555,0.0,0.0,0.0,21.0,550.0,15.73,263732,189180.75698924728,14484.97282099344
162,222362.0,9580000.0,115000.0,43.4,10.0,30.379909,59.805052,0.0,0.0,0.0,20.0,2649.769585253456,10.27,263732,189180.75698924728,13795.212210469943
163,407835.0,17700000.0,84568.0,43.4,11.0,30.338991,59.876928,0.0,0.0,0.0,18.0,1948.571428571429,4.26,335221,284126.8703125,12415.690989422948
164,317197.2,12650111.8,135000.0,43.4,25.0,30.258565,59.999282,0.0,1.0,2.0,125.0,3110.599078341014,6.68,699243,279766.9102439024,86220.07631543714
