,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
56,297641.2,9158000.0,69000.0,30.0,5.0,30.334598,59.987258,0.0,0.0,0.0,70.0,2300.0,3.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
57,281912.4,7967312.0,45000.0,30.0,23.0,30.254926,60.040923,0.0,0.0,0.0,55.0,1500.0,8.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
58,197369.0,6000000.0,80488.0,30.4,5.0,30.442773,59.885616,0.0,0.0,1.0,0.0,2647.6315789473683,14.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547896,218420.79166666666
59,274510.0,8400000.0,91861.8,30.6,9.0,30.386071,59.86823,0.0,0.0,1.0,0.0,3002.019607843137,8.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,413983,245996.38888888888
60,276873.0,8500000.0,83869.8,30.7,5.0,30.357397,59.838607,0.0,0.0,1.0,0.0,2731.915309446254,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
61,215473.2,7720000.0,62000.0,31.0,3.0,30.381194,59.802576,0.0,0.0,0.0,15.0,2000.0,10.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
62,281613.8,10178912.0,50000.0,31.0,5.0,30.22883,59.960179,0.0,0.0,1.0,75.0,1612.9032258064517,9.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
63,273946.2,8800000.0,70000.0,31.0,9.0,30.362311,59.924984,0.0,1.0,3.0,41.0,2258.064516129032,5.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
64,322745.6,10079312.0,60000.0,31.0,6.2,30.262535,60.011941,0.0,1.0,1.0,101.0,1935.483870967742,6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
65,380222.4,13840000.0,60000.0,31.1,16.0,30.330717,59.8977,0.0,0.0,0.0,38.0,1929.260450160772,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
66,327245.6,9521312.0,62600.0,31.3,3.0,30.259966,59.969957,1.0,1.0,1.0,51.0,2000.0,6.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
67,252378.4,9054080.0,88900.0,31.3,10.0,30.4072,59.935935,0.0,0.0,1.0,29.0,2840.255591054313,10.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366971,222474.55818181817
68,213376.0,6700000.0,80488.0,31.4,5.0,30.442773,59.885616,0.0,0.0,1.0,0.0,2563.312101910828,14.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547896,218420.79166666666
69,345911.0,13601400.0,95000.0,31.4,25.0,30.343922,59.923978,0.0,1.0,4.0,76.0,3025.4777070063697,3.56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
70,282003.8,7858000.0,60000.0,31.6,9.0,30.381095,59.924835,0.0,2.0,2.0,63.0,1898.7341772151897,7.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
71,297641.2,9158000.0,44520.0,31.8,3.0,30.336763,59.982748,0.0,0.0,1.0,65.0,1400.0,3.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
72,141510.0,4500000.0,117568.0,31.8,5.0,30.33149,60.037063,0.0,0.0,1.0,0.0,3697.106918238994,5.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
73,205206.6,7348200.0,64880.0,32.0,1.0,30.405978,59.719555,0.0,0.0,0.0,21.0,2027.5,15.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
74,354955.6,12159800.0,70000.0,32.0,18.0,30.302124,59.912414,0.0,1.0,1.0,58.0,2187.5,1.66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155981,277500.88611111115
75,270402.6,10610512.0,48000.0,32.0,20.0,30.209391,60.003232,0.0,0.0,1.0,109.0,1500.0,11.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
76,357861.4,11619800.0,24000.0,32.0,7.2,30.295755,59.986902,0.0,0.0,2.0,58.0,750.0,3.09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
77,351218.8,11919800.0,50000.0,32.0,5.0,30.304621,59.960435,0.0,0.0,1.0,43.0,1562.5,1.47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
