WKT	NAME	NAME_EN	NAME_RU	RAILWAY	REF	OSM_TYPE	OSM_ID
"POLYGON ((30.6155458 59.748884,30.6155121 59.7488736,30.6154514 59.7488549,30.6145945 59.7495215,30.6145447 59.749506,30.6143227 59.7496788,30.6140653 59.749871,30.6141377 59.7498957,30.6132542 59.7505701,30.6132918 59.750583,30.6133455 59.7506014,30.6155458 59.748884))"				platform		way	"51433074"
"POLYGON ((30.4364736 60.0163932,30.4365093 60.0165009,30.4365601 60.0164967,30.4365244 60.0163889,30.4365026 60.0163908,30.4364736 60.0163932))"	Депо Ручьи			platform		way	"56196824"
"POLYGON ((30.1260415 60.1226016,30.1260753 60.1226443,30.1300856 60.1218566,30.1300519 60.121814,30.1260415 60.1226016))"				platform	"1"	way	"72891135"
"POLYGON ((29.9465635 60.1577937,29.9425557 60.1585889,29.9425868 60.1586277,29.9435651 60.1584336,29.9465946 60.1578325,29.9465635 60.1577937))"				platform	"1"	way	"72891149"
"POLYGON ((29.9424731 60.158479,29.9425011 60.1585142,29.9465116 60.1577238,29.9464836 60.1576886,29.9461618 60.157752,29.9434104 60.1582943,29.9424731 60.158479))"				platform	"2"	way	"72891164"
"POLYGON ((30.2165437 60.1046182,30.2165743 60.1046567,30.2200704 60.1039634,30.2200397 60.1039249,30.2165437 60.1046182))"				platform		way	"72891171"
"POLYGON ((30.21665 60.1047439,30.2166879 60.1047919,30.2201914 60.104105,30.2201536 60.104057,30.21665 60.1047439))"				platform	"1"	way	"72891175"
"POLYGON ((30.3260277 59.9960973,30.3260901 59.9961182,30.3264161 59.9958511,30.3264478 59.9958618,30.3267511 59.9956406,30.326719 59.9956282,30.3275207 59.9951084,30.3275562 59.9951224,30.3278761 59.9949194,30.3278557 59.9949113,30.3282931 59.9946726,30.3283332 59.9946898,30.3284967 59.9946074,30.3284523 59.9945882,30.328403 59.9945668,30.3277348 59.9949176,30.3266767 59.9956105,30.3263578 59.9958338,30.3260277 59.9960973))"				platform	"1"	way	"72891182"
"POLYGON ((30.421418 59.7396553,30.420325 59.7418294,30.4203904 59.7418377,30.4206572 59.7413135,30.4214834 59.7396637,30.421418 59.7396553))"				platform	"2"	way	"75686095"
"POLYGON ((30.4201594 59.7418173,30.4212447 59.7396443,30.4211815 59.7396363,30.4200962 59.7418092,30.4201594 59.7418173))"				platform	"1"	way	"75686100"
"POLYGON ((30.2886086 59.8522801,30.2885955 59.852281,30.28912 59.8541998,30.2891562 59.8541974,30.2891937 59.8541948,30.2886689 59.8522759,30.2886385 59.852278,30.2886086 59.8522801))"				platform	"3"	way	"75798511"
"POLYGON ((30.3315895 59.9928282,30.3315575 59.9928122,30.3313853 59.9928984,30.3313601 59.992911,30.3313449 59.9929034,30.3295679 59.9937927,30.3293682 59.9938927,30.3289843 59.9940848,30.3290315 59.9941084,30.3315895 59.9928282))"				platform	"2"	way	"76112919"
"POLYGON ((30.1259579 60.1224714,30.1259993 60.1225238,30.1300149 60.1217372,30.1299735 60.1216848,30.1297864 60.1217215,30.1279611 60.122079,30.1269204 60.1222828,30.1259579 60.1224714))"				platform		way	"76112926"
"POLYGON ((30.4254033 59.8667934,30.4225107 59.868503,30.4225704 59.8685284,30.4226501 59.8684814,30.4229632 59.8682963,30.4235218 59.8679662,30.4236642 59.867882,30.4246259 59.8673137,30.4247741 59.8672261,30.4249088 59.8671467,30.4249389 59.8671287,30.4251884 59.8669812,30.4252356 59.867001,30.425504 59.8668332,30.4254033 59.8667934))"				platform		way	"77626769"
"POLYGON ((30.3878321 59.8068643,30.3878513 59.8068667,30.3889286 59.8047136,30.3888766 59.804707,30.3877993 59.8068601,30.3878321 59.8068643))"				platform	"1"	way	"78401296"
"POLYGON ((30.3891143 59.804747,30.3890757 59.8047421,30.3879966 59.8068952,30.388011 59.806897,30.3880352 59.8069,30.3891143 59.804747))"				platform	"2"	way	"78401301"
"POLYGON ((30.3976194 59.7872016,30.3975965 59.787196,30.3975708 59.7871954,30.3971277 59.7880826,30.3971763 59.7880887,30.3976194 59.7872016))"				platform	"1"	way	"78629595"
"POLYGON ((30.39781 59.7872229,30.397786 59.7872187,30.3977598 59.7872167,30.3973236 59.7881055,30.3973737 59.7881117,30.39781 59.7872229))"				platform	"2"	way	"78629625"
"POLYGON ((30.5406261 59.7872485,30.5383521 59.7888782,30.5384023 59.7888959,30.5390894 59.7884035,30.5391605 59.7884287,30.5396479 59.7880794,30.5396017 59.7880631,30.5392325 59.7883277,30.5392017 59.7883168,30.5406705 59.7872642,30.5406261 59.7872485))"				platform		way	"85976396"
"POLYGON ((30.5384387 59.7886275,30.5357482 59.7905559,30.5357723 59.7905645,30.5357984 59.7905737,30.5384889 59.7886453,30.5384387 59.7886275))"				platform		way	"85976416"
"POLYGON ((30.5137152 59.8063365,30.5136767 59.8063642,30.5128686 59.8069458,30.5128316 59.8069722,30.512555 59.8071696,30.5124012 59.80728,30.5117705 59.8077328,30.5116658 59.807808,30.5116936 59.8078191,30.5117181 59.8078289,30.51377 59.8063558,30.5137438 59.8063466,30.5137152 59.8063365))"				platform		way	"89128984"
"POLYGON ((30.511852 59.8078688,30.5119045 59.8078874,30.5119522 59.8079044,30.5140523 59.8064079,30.5140006 59.8063895,30.5139521 59.8063723,30.511852 59.8078688))"				platform		way	"89128985"
"POLYGON ((30.3371068 59.7300877,30.3397404 59.7318414,30.3397865 59.7318238,30.339826 59.7318088,30.3371925 59.730055,30.3371464 59.7300726,30.3371068 59.7300877))"				platform		way	"89619009"
"POLYGON ((30.3386293 59.7308851,30.3385675 59.7309168,30.3388679 59.7311136,30.3391831 59.7309913,30.3390903 59.7309271,30.3389953 59.7308614,30.3387453 59.7308436,30.3371166 59.7297378,30.33706 59.729759,30.3370308 59.7297638,30.3370024 59.7297805,30.3386293 59.7308851))"				platform		way	"91461189"
"POLYGON ((30.3642529 59.9240198,30.3642232 59.924018,30.3641958 59.9240163,30.3640597 59.9244413,30.3639714 59.9247384,30.3638138 59.9251871,30.3636089 59.9257369,30.3631675 59.9269961,30.3625648 59.9286854,30.3626971 59.9286989,30.3629731 59.927937,30.3635237 59.9264463,30.3639998 59.9250923,30.3641795 59.9244982,30.3642079 59.9242786,30.3642529 59.9240198))"				platform	"6;7"	way	"93473638"
"POLYGON ((30.3617756 59.9284301,30.3618849 59.9281438,30.3620907 59.9275687,30.3622252 59.9271625,30.3622933 59.9269785,30.362423 59.9267207,30.3626472 59.9262816,30.3629047 59.9258034,30.3633279 59.9249984,30.3634985 59.9247009,30.363587 59.9245183,30.3637941 59.9240256,30.3637402 59.9240202,30.3636859 59.9240148,30.3633396 59.9247229,30.3629801 59.925581,30.362808 59.9257472,30.36263 59.9261542,30.3624304 59.9265325,30.3622209 59.9269472,30.3616598 59.9284188,30.3617289 59.9284255,30.3617756 59.9284301))"				platform	"1"	way	"93473640"
"POLYGON ((30.3636727 59.9249431,30.3634359 59.9253927,30.3632526 59.9258491,30.3629208 59.9267722,30.36267 59.9274896,30.3622421 59.9286605,30.3624114 59.9286763,30.362812 59.9274919,30.36306 59.9267819,30.3633283 59.9260608,30.3635492 59.9254928,30.3637144 59.9249475,30.3636944 59.9249454,30.3636727 59.9249431))"				platform	"4;5"	way	"93473641"
"POLYGON ((30.3647628 59.9237761,30.3648069 59.9235348,30.364861 59.9229463,30.3648318 59.9229456,30.3648038 59.922945,30.3647519 59.9235309,30.3647226 59.9237544,30.3646828 59.9240561,30.364633 59.924416,30.3645708 59.924672,30.3644964 59.9249445,30.3639777 59.9263436,30.3633687 59.928089,30.363476 59.928098,30.3642142 59.9259771,30.3645421 59.925018,30.364643 59.9246673,30.364684 59.9244239,30.3647628 59.9237761))"				platform	"10;11"	way	"93473646"
"POLYGON ((30.3645402 59.923481,30.3644662 59.9239588,30.3643676 59.9244768,30.3642804 59.9247712,30.3641638 59.9251112,30.3637602 59.9262109,30.3633093 59.9275175,30.3631083 59.9280672,30.3632257 59.928077,30.3636467 59.926876,30.3639084 59.9260924,30.3642678 59.9251018,30.3643695 59.9247883,30.3644397 59.9244909,30.3645153 59.923962,30.3645389 59.923724,30.3645721 59.9234821,30.3645573 59.9234816,30.3645402 59.923481))"				platform	"8;9"	way	"93473650"
