X	Y	POWER	OSM_TYPE	OSM_ID
30.4155854	59.7616493	tower	node	"749679822"
30.4629643	59.8116231	tower	node	"749679826"
30.4635975	59.7924758	tower	node	"749679838"
30.46862	59.8090425	tower	node	"749679841"
30.4519213	59.7831508	tower	node	"749679860"
30.3983491	59.7546936	tower	node	"749679863"
30.4141175	59.7595153	tower	node	"749679867"
30.4271922	59.7796911	tower	node	"749679868"
30.4602223	59.8055115	tower	node	"749679871"
30.4672886	59.8106067	tower	node	"749679875"
30.466353	59.8156248	tower	node	"749679878"
30.4701057	59.8092175	tower	node	"749679899"
30.4474668	59.7816127	tower	node	"749679904"
30.4559042	59.7855744	tower	node	"749679907"
30.3985962	59.7543319	tower	node	"749679909"
30.4278286	59.7793155	tower	node	"749679915"
30.4686638	59.8108025	tower	node	"749679918"
30.390355	59.7505441	tower	node	"749679922"
30.4646625	59.8107317	tower	node	"749679926"
30.4036193	59.7571809	tower	node	"749679939"
30.4641878	59.8140335	tower	node	"749679944"
30.4643952	59.7925139	tower	node	"749679946"
30.4613581	59.808483	tower	node	"749679952"
30.4235423	59.7731602	tower	node	"749679955"
30.4649691	59.8108941	tower	node	"749679956"
30.4628441	59.7953677	tower	node	"749679973"
30.4600766	59.7875547	tower	node	"749679975"
30.4664685	59.811444	tower	node	"749679978"
30.4344456	59.7803731	tower	node	"749679981"
30.406951	59.7586869	tower	node	"749679984"
30.4677194	59.8110233	tower	node	"749679988"
30.463633	59.7954154	tower	node	"749679991"
30.4206028	59.7701405	tower	node	"749680005"
30.4620099	59.8016835	tower	node	"749680007"
30.4346078	59.7799617	tower	node	"749680011"
30.4619921	59.7987292	tower	node	"749680014"
30.4213987	59.7700009	tower	node	"749680017"
30.4683484	59.8089059	tower	node	"749680022"
30.4605105	59.7872223	tower	node	"749680035"
30.3957545	59.7535656	tower	node	"749680038"
30.413908	59.7604889	tower	node	"749680042"
30.4611924	59.8048243	tower	node	"749680046"
30.4643312	59.8113982	tower	node	"749680048"
30.4665105	59.8137842	tower	node	"749680052"
30.4416346	59.7806255	tower	node	"749680054"
30.4643464	59.7895495	tower	node	"749680065"
30.4682248	59.810565	tower	node	"749680068"
30.4628046	59.7985704	tower	node	"749680073"
30.3899673	59.750925	tower	node	"749680076"
30.4096538	59.7599005	tower	node	"749680079"
30.4651801	59.7894056	tower	node	"749680084"
30.4162835	59.7639415	tower	node	"749680098"
30.4633951	59.8116564	tower	node	"749680101"
30.4651679	59.8116273	tower	node	"749680106"
30.4656534	59.8158911	tower	node	"749680111"
30.4673105	59.8159184	tower	node	"749680114"
30.4612318	59.8016086	tower	node	"749680118"
30.4721261	59.8086327	tower	node	"749680137"
30.4478272	59.7812483	tower	node	"749680139"
30.4248934	59.7764365	tower	node	"749680143"
30.4596711	59.8076391	tower	node	"749680146"
30.4170654	59.7637938	tower	node	"749680150"
30.4227495	59.7733035	tower	node	"749680152"
30.4046202	59.7570831	tower	node	"749680156"
30.4651182	59.8139379	tower	node	"749680175"
30.4184245	59.767023	tower	node	"749680179"
30.349267	59.744922	tower	node	"749935286"
30.3016606	59.7403072	tower	node	"749937289"
30.3627739	59.7448065	tower	node	"749937290"
30.3364232	59.7441061	tower	node	"749937291"
30.3302228	59.7439105	tower	node	"749937292"
30.3024741	59.7401061	tower	node	"749937293"
30.3558522	59.7451146	tower	node	"749937295"
30.3559082	59.7446551	tower	node	"749937299"
30.3493312	59.7444888	tower	node	"749937300"
30.3839371	59.7502234	tower	node	"749937301"
30.298733	59.7374933	tower	node	"749937302"
30.3190094	59.745301	tower	node	"749937303"
30.2862703	59.7245599	tower	node	"749937304"
30.3993811	59.7479555	tower	node	"749937306"
30.2934402	59.7324122	tower	node	"749937307"
