X	Y	HIGHWAY	CROSSING	CROSSING_R	OSM_TYPE	OSM_ID
30.5699418	59.8164904	crossing			node	"769157911"
30.5636892	59.8122219	crossing	traffic_signals		node	"769157915"
30.0079652	59.8413711	crossing	uncontrolled		node	"769992275"
30.0099577	59.844382	crossing	uncontrolled		node	"769992418"
30.4839417	59.8515309	crossing	uncontrolled		node	"772483240"
30.5296441	59.8310176	crossing	uncontrolled		node	"773700333"
30.4260511	59.7206315	crossing	uncontrolled		node	"788355220"
30.4246633	59.719573	crossing	uncontrolled		node	"788355380"
30.242528	59.9340341	crossing	unmarked		node	"793462976"
30.2619781	59.9871741	crossing	uncontrolled		node	"795617354"
30.3135217	59.9933238	crossing	uncontrolled		node	"795617356"
30.3464512	59.982838	crossing	uncontrolled		node	"795617357"
30.310065	59.9922072	crossing	uncontrolled		node	"795617361"
30.4081704	59.7190244	crossing	traffic_signals		node	"798656717"
30.4082904	59.7191169	crossing	traffic_signals		node	"798656759"
30.4114265	59.7179611	crossing	traffic_signals		node	"798712537"
30.4111549	59.7181816	crossing	traffic_signals		node	"798712539"
30.4110375	59.7180887	crossing	traffic_signals		node	"798712557"
30.411545	59.7180542	crossing	traffic_signals		node	"798712565"
30.4114261	59.7181727	crossing	traffic_signals		node	"798712597"
30.411141	59.7179511	crossing	traffic_signals		node	"798712604"
30.2492491	59.9346863	crossing	traffic_signals		node	"800278235"
30.4132113	59.7195767	crossing	traffic_signals		node	"800883106"
30.4172015	59.7181414	crossing	uncontrolled		node	"800883124"
30.4162101	59.7172577	crossing	uncontrolled		node	"800883317"
30.4166517	59.7175949	crossing	uncontrolled		node	"800883396"
30.4129901	59.7194009	crossing	traffic_signals		node	"800883445"
30.4132686	59.7194399	crossing	traffic_signals		node	"800883500"
30.4129649	59.719542	crossing	traffic_signals		node	"800883573"
30.4370265	59.963587	crossing	uncontrolled		node	"800984731"
30.5792233	59.8116162	crossing	uncontrolled		node	"801921237"
30.240747	60.0155584	crossing	traffic_signals		node	"802195915"
30.2825504	59.9993743	crossing	traffic_signals		node	"802595513"
30.2764047	59.9988259	crossing	traffic_signals		node	"802595542"
30.2984186	60.0009448	crossing	traffic_signals		node	"802595556"
30.2988216	60.0009829	crossing	traffic_signals		node	"802595569"
30.4050295	59.7165897	crossing	uncontrolled		node	"802724253"
30.4049993	59.716723	crossing	uncontrolled		node	"802724277"
30.4047791	59.7165495	crossing	uncontrolled		node	"802724316"
30.406245	59.7177173	crossing	uncontrolled		node	"802724322"
30.406044	59.7175541	crossing	uncontrolled		node	"802724367"
30.4047379	59.7166836	crossing	uncontrolled		node	"802724370"
30.4062864	59.7175805	crossing	uncontrolled		node	"802724403"
30.4011301	59.7178438	crossing	uncontrolled		node	"802753913"
30.4014214	59.71775	crossing	uncontrolled		node	"802753921"
30.4013659	59.7178777	crossing	uncontrolled		node	"802753930"
30.2252813	59.985573	crossing	unmarked		node	"802961938"
30.2293222	59.9850273	crossing	uncontrolled		node	"802962034"
30.2302227	59.9924938	crossing	uncontrolled		node	"802962080"
30.2272047	59.9986059	crossing	uncontrolled		node	"802962387"
30.5243489	59.9878959	crossing	traffic_signals		node	"803389065"
30.3535846	59.9193373	crossing	uncontrolled		node	"803897448"
30.3522655	59.9172896	crossing	uncontrolled		node	"803897449"
30.3799373	59.8114196	crossing	uncontrolled		node	"804678221"
30.4141219	59.727772	crossing	uncontrolled		node	"805559661"
30.4138122	59.7277545	crossing	uncontrolled		node	"805559666"
30.4215703	59.7342894	crossing	uncontrolled		node	"805882288"
30.3364645	59.9323518	crossing	uncontrolled		node	"806551073"
30.3359557	59.9311958	crossing	uncontrolled		node	"806551078"
30.3525856	59.9581674	crossing	traffic_signals		node	"806913541"
30.3311418	59.8643426	crossing	uncontrolled		node	"809885411"
30.3325439	59.8647248	crossing	unmarked		node	"809885640"
30.3996488	59.7165238	crossing	uncontrolled		node	"812126707"
30.3988633	59.7185715	crossing	uncontrolled		node	"812126709"
30.4043876	59.7203959	crossing	uncontrolled		node	"815758375"
